moderation status: j_SLaNRf_xo  ,  
moderation status: j_SLaNRf_xo  ,  
moderation status(vid id, mod status): j_SLaNRf_xo  ,  
moderation status(vid id, mod status): j_SLaNRf_xo  ,  
moderation status(vid id, mod status): YCVeYWVQ03g  ,  
moderation status(vid id, mod status): SiIHam5adVo  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   4iVshVT4YmE  ,  20:42:09  ,  
moderation status(channel id, vid id, time,  mod status): UCimiUgDLbi6P17BdaCZpVbg  ,   AYrsYrdJaUw  ,  19 17:04:44  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   nhcEoLxEPyg  ,  19 17:55:30  ,  
moderation status(channel id, vid id, time,  mod status): UCSAUGyc_xA8uYzaIVG6MESQ  ,   JuT5Jjz68kE  ,  19 18:12:28  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   9rWjb7t8cfo  ,  19 18:46:20  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   q2qQu6EiyUo  ,  19 19:03:19  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   BSWmecEayzA  ,  19 19:20:20  ,  
moderation status(channel id, vid id, time,  mod status): UCtLTnm7c8qT4kNXPjHs4Ouw  ,   yEx4UZTXBFA  ,  19 19:57:21  ,  
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   ZyUjGld6tmA  ,  19 23:36:49  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   5Mp8PNm25gk  ,  20 00:44:25  ,  
moderation status(channel id, vid id, time,  mod status): UCVOGOj5wxS8p8P6ilray33A  ,   jMF6sZwEY48  ,  20 09:33:25  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   rjnE80-ezV4  ,  20 14:06:47  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   dE9KsLL71qg  ,  20 15:14:19  ,  
moderation status(channel id, vid id, time,  mod status): UCdcemy56JtVTrsFIOoqvV8g  ,   7E-ozJAOxfk  ,  20 15:14:20  ,  
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   YRMKzxKdmYA  ,  20 15:48:06  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCaFUrR3oSxOl5Y9y6tvLTEg  ,   LDQnJ1cu9TA  ,  20 19:12:38  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   2unKlaSqe6g  ,  20 19:12:39  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   6n-bHJUjh90  ,  20 20:03:21  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   6n-bHJUjh90  ,  20 20:03:22  ,  
moderation status(channel id, vid id, time,  mod status): UCxOGHW-aqciBe5Wjq8ltzOg  ,   gRdhmFoFcF4  ,  20 20:20:14  ,  
moderation status(channel id, vid id, time,  mod status): UCIDaoGGZ0VL_lWajKts4bww  ,   kRax-r402NU  ,  20 20:37:10  ,  
moderation status(channel id, vid id, time,  mod status): UCDo9msNItILnyF_Y2eHaNQg  ,   c7ofIgJ-SSQ  ,  20 21:10:57  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   Z29cXjLE3wQ  ,  20 23:09:14  ,  
moderation status(channel id, vid id, time,  mod status): UCN5xN8gIljvWYnsj06V8WbQ  ,   3QJC1xq3UwA  ,  20 23:26:09  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   2zwNHgrhHtY  ,  21 00:16:49  ,  
moderation status(channel id, vid id, time,  mod status): UCRlICXvO4XR4HMeEB9JjDlA  ,   060WE73L3ao  ,  21 00:37:12  ,  
moderation status(channel id, vid id, time,  mod status): UCUxMKrXEeSi8N0bqbjrLF_w  ,   HIQRuAfWTNA  ,  21 05:24:00  ,  
moderation status(channel id, vid id, time,  mod status): UCVOGOj5wxS8p8P6ilray33A  ,   VHpzoRtoFSw  ,  21 06:00:52  ,  
moderation status(channel id, vid id, time,  mod status): UCTpdYhet__fMAb0oHIGBOcQ  ,   w2x-ifisguA  ,  21 06:34:42  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC1NB1xUQ8ItM5VoA4101lUQ  ,   adPNhfRktE4  ,  21 17:46:39  ,  
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   Uzkaz11mwZM  ,  21 18:22:09  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   Y7OHr5MOP7M  ,  21 18:55:57  ,  
moderation status(channel id, vid id, time,  mod status): UC4WNEEzWfK0fJJxxjQ4EYeg  ,   IIBYCBmDi2U  ,  21 18:55:58  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   FFIlwinbhkw  ,  21 19:12:54  ,  
moderation status(channel id, vid id, time,  mod status): UCuunebfqIi8uCzAs_fO1D6Q  ,   TVI0UYX6bYA  ,  21 19:12:56  ,  
moderation status(channel id, vid id, time,  mod status): UCN6BU9wRapPTF_tzYqKVWNA  ,   Zi_6cuGx91s  ,  21 19:46:52  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCDo9msNItILnyF_Y2eHaNQg  ,   p08M3ZOI_F0  ,  21 21:45:08  ,  
moderation status(channel id, vid id, time,  mod status): UCo5OlQ6tui7oBDnqVv33vhw  ,   ea8m9ihbcis  ,  21 22:52:38  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   dRZFJMSDzS4  ,  22 01:09:14  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   h0CaQYFZv-s  ,  22 05:07:27  ,  
moderation status(channel id, vid id, time,  mod status): UC1EW42tsTQTuFIkKcAhufkw  ,   jgQ_pBPV6a8  ,  22 15:33:26  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   rHyCTCSLB3c  ,  22 15:51:46  ,  
moderation status(channel id, vid id, time,  mod status): UCM1cgxPGbxl_jR28Dx0CNww  ,   nSuObPUH6RE  ,  22 17:16:04  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCcJOvU2SXP0YI4iYL7Kxwcg  ,   U8rmEw6kOyI  ,  22 17:32:58  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   JY3yLjCbpQE  ,  22 17:49:50  ,  
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   ihyPQiOjZos  ,  22 18:06:43  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   RTD-XDXILnA  ,  22 18:23:37  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCN6BU9wRapPTF_tzYqKVWNA  ,   uct-5Bok-zw  ,  22 18:40:30  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   JdkZguO-QsM  ,  22 18:57:24  ,  
moderation status(channel id, vid id, time,  mod status): UChnfZKbuDfLQDKJ99Vv2sOw  ,   PryBMmzd1lc  ,  22 19:14:17  ,  
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   rb0z5MTLErY  ,  22 20:38:42  ,  
moderation status(channel id, vid id, time,  mod status): UCDo9msNItILnyF_Y2eHaNQg  ,   MQM8FfwFbqs  ,  22 23:45:49  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   Ml9wXjGaOaY  ,  23 00:19:34  ,  
moderation status(channel id, vid id, time,  mod status): UC1NB1xUQ8ItM5VoA4101lUQ  ,   7I9U3946kW0  ,  23 02:35:55  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   ZMMZGW4Peco  ,  23 05:24:50  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCUxMKrXEeSi8N0bqbjrLF_w  ,   _gb7NchxgTg  ,  23 05:24:52  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCVtFOytbRpEvzLjvqGG5gxQ  ,   wxxgopfXpbk  ,  23 09:22:26  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   IgURNsxLBnU  ,  23 14:37:45  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   Uy1Ds4qC-ig  ,  23 16:35:55  ,  
moderation status(channel id, vid id, time,  mod status): UCuouUWCLmpG4Dje3Ay0p1oQ  ,   e1ALOveGW6Q  ,  23 17:09:43  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCxOGHW-aqciBe5Wjq8ltzOg  ,   PLBUcFjKN8Q  ,  23 17:09:44  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   y-ZHNT6On3g  ,  23 17:09:45  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   o6oMTV47C90  ,  23 17:43:32  ,  
moderation status(channel id, vid id, time,  mod status): UCuVOTQeNXKAP0OQcTBbACjg  ,   6fqlrYkxHyw  ,  23 17:43:34  ,  
moderation status(channel id, vid id, time,  mod status): UC_eR8YpmUyAMi6tlMZrH-ag  ,   GdjXj55psIw  ,  23 18:34:11  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   glQt_FqNMww  ,  23 19:09:34  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCN6BU9wRapPTF_tzYqKVWNA  ,   eYXjQY6q020  ,  23 19:43:20  ,  
moderation status(channel id, vid id, time,  mod status): UChnfZKbuDfLQDKJ99Vv2sOw  ,   9oDUJRWyoFk  ,  23 21:24:34  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   CV7r9O9AbrA  ,  23 21:58:24  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC1EW42tsTQTuFIkKcAhufkw  ,   Wa2_8tmGV4s  ,  23 21:58:25  ,  
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   8ieOj95ZQes  ,  23 23:06:14  ,  
moderation status(channel id, vid id, time,  mod status): UCDo9msNItILnyF_Y2eHaNQg  ,   dKnoOdDLy4o  ,  23 23:57:03  ,  
moderation status(channel id, vid id, time,  mod status): UCYBP_TtboAYP28U3ZVNM9Ig  ,   gH2E-4JSfpM  ,  24 00:49:08  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   HIgV1T1pP3I  ,  24 01:39:44  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   ZheM7UacMs0  ,  24 04:28:35  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   EdPk6haHRBY  ,  24 14:05:02  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   HufWCzqzkFo  ,  24 16:03:10  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   HiBWlowGVEw  ,  24 18:36:58  ,  
moderation status(channel id, vid id, time,  mod status): UCuunebfqIi8uCzAs_fO1D6Q  ,   590M3udT6ME  ,  24 19:17:36  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   u8YwCg4iNV0  ,  24 21:34:40  ,  
moderation status(channel id, vid id, time,  mod status): UCN6BU9wRapPTF_tzYqKVWNA  ,   xmcMSr5GnmM  ,  24 21:34:42  ,  
moderation status(channel id, vid id, time,  mod status): UC4_bwov47DseacR1-ttTdOg  ,   qT-NUkiUegM  ,  24 22:08:47  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   St2VjkdY3WQ  ,  24 22:25:43  ,  
moderation status(channel id, vid id, time,  mod status): UC1NB1xUQ8ItM5VoA4101lUQ  ,   Qyv4gpjaVVU  ,  24 22:42:40  ,  
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   5kfOdruRjoo  ,  24 23:16:31  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   EnAD5yC29bc  ,  24 23:16:33  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   Q6QiBCsWnH0  ,  24 23:50:26  ,  
moderation status(channel id, vid id, time,  mod status): UCN5xN8gIljvWYnsj06V8WbQ  ,   HQ1MV7RYK1c  ,  25 01:14:56  ,  
moderation status(channel id, vid id, time,  mod status): UCIDaoGGZ0VL_lWajKts4bww  ,   aq-cSCRzlY8  ,  25 01:14:57  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   2e4y8VvHL3Y  ,  25 03:15:12  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   2e4y8VvHL3Y  ,  25 03:15:14  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   UqfdfR5soBY  ,  25 04:05:57  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCUxMKrXEeSi8N0bqbjrLF_w  ,   hI-hYER9dpc  ,  25 04:22:51  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   _yZOMoDEQsg  ,  25 06:04:15  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCVOGOj5wxS8p8P6ilray33A  ,   QKy7X1gXAhI  ,  25 11:27:27  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   j0nmETC8ISM  ,  25 17:07:40  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCtinbF-Q-fVthA0qrFQTgXQ  ,   cfqAHfpQkno  ,  25 18:15:23  ,  
moderation status(channel id, vid id, time,  mod status): UCi_V-NWe_nqsj5AlT3SIN_g  ,   JLC-247V0Uk  ,  25 18:15:24  ,  
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   eInVz2xLd-Y  ,  25 18:32:20  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   6a_segPSRE4  ,  25 23:22:33  ,  
moderation status(channel id, vid id, time,  mod status): UC1EW42tsTQTuFIkKcAhufkw  ,   sILqjRuHfps  ,  25 23:22:35  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   XvENerzoPKI  ,  26 02:21:49  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   XvENerzoPKI  ,  26 02:21:51  ,  
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   XtWU3Y15FaE  ,  26 13:25:16  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   Ni9TQHOsHUQ  ,  26 17:41:28  ,  
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   YHuDQ1h1JMQ  ,  26 18:15:24  ,  
moderation status(channel id, vid id, time,  mod status): UCN6BU9wRapPTF_tzYqKVWNA  ,   pYr0bJx57dw  ,  26 19:23:05  ,  
moderation status(channel id, vid id, time,  mod status): UC_eR8YpmUyAMi6tlMZrH-ag  ,   kCwPgNofOmI  ,  26 19:56:56  ,  
moderation status(channel id, vid id, time,  mod status): UChnfZKbuDfLQDKJ99Vv2sOw  ,   jyk8r4VOS-I  ,  26 20:48:23  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UClFSU9_bUb4Rc6OYfTt5SPw  ,   fOXKGQw6Ing  ,  26 21:41:50  ,  
moderation status(channel id, vid id, time,  mod status): UCWXCrItCF6ZgXrdozUS-Idw  ,   bUBcdHouW6A  ,  26 22:15:36  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   ewWQnTc7ZFo  ,  26 22:32:32  ,  
moderation status(channel id, vid id, time,  mod status): UCDo9msNItILnyF_Y2eHaNQg  ,   WxcQsgss6Ac  ,  26 22:32:33  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   nMBtri9bCGc  ,  26 23:06:39  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   nMBtri9bCGc  ,  26 23:06:41  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   adJiKmTOpf4  ,  26 23:57:23  ,  
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   Ai7H2K4c238  ,  27 02:48:23  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCHfZgL6QeO4JtvjfKbW_Mpg  ,   zrNjpG9UYXM  ,  27 18:29:21  ,  
moderation status(channel id, vid id, time,  mod status): UCi_V-NWe_nqsj5AlT3SIN_g  ,   K-DjWF2qgKo  ,  27 18:46:21  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   jBcHv3h1pHs  ,  27 19:03:15  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   F9OlCZLZKpQ  ,  27 19:03:16  ,  
moderation status(channel id, vid id, time,  mod status): UCuunebfqIi8uCzAs_fO1D6Q  ,   75cvH6OKSD0  ,  27 19:03:17  ,  
moderation status(channel id, vid id, time,  mod status): UCM1cgxPGbxl_jR28Dx0CNww  ,   0WJRI1M0STo  ,  27 19:03:19  ,  
moderation status(channel id, vid id, time,  mod status): UCaFUrR3oSxOl5Y9y6tvLTEg  ,   ueEM5fZAkrk  ,  27 20:11:11  ,  
moderation status(channel id, vid id, time,  mod status): UCN6BU9wRapPTF_tzYqKVWNA  ,   M_WF2oRyqrY  ,  27 20:11:13  ,  
moderation status(channel id, vid id, time,  mod status): UCxOGHW-aqciBe5Wjq8ltzOg  ,   7iIBWQPTwrw  ,  27 21:35:44  ,  
moderation status(channel id, vid id, time,  mod status): UCDo9msNItILnyF_Y2eHaNQg  ,   9OGRutz7zPM  ,  27 21:35:45  ,  
moderation status(channel id, vid id, time,  mod status): UCcJOvU2SXP0YI4iYL7Kxwcg  ,   QkDqyspw_vc  ,  27 21:52:39  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCIDaoGGZ0VL_lWajKts4bww  ,   nZcaAXBFMGU  ,  27 21:52:41  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   rV-2SMprSkE  ,  28 02:45:06  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   rV-2SMprSkE  ,  28 02:45:07  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCVOGOj5wxS8p8P6ilray33A  ,   mOJo3TnUY9U  ,  28 08:28:34  ,  
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   6CawMdtBiY4  ,  28 14:44:21  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCmlsu3V3SzIm2Jmo0S0qiMg  ,   2paVAseYvA4  ,  28 16:11:18  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   gJZV4kLhV4A  ,  28 16:11:19  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCNYrK4tc5i1-eL8TXesH2pg  ,   t12VsSRwFG0  ,  28 17:22:35  ,  
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   AhIj3zLpcdo  ,  28 17:22:38  ,  
moderation status(channel id, vid id, time,  mod status): UC_eR8YpmUyAMi6tlMZrH-ag  ,   0MuTXJYuMas  ,  28 18:13:20  ,  
moderation status(channel id, vid id, time,  mod status): UCN6BU9wRapPTF_tzYqKVWNA  ,   AftMUZGO6EY  ,  28 19:04:00  ,  
moderation status(channel id, vid id, time,  mod status): UCuunebfqIi8uCzAs_fO1D6Q  ,   YT4KAOX5hLw  ,  28 19:20:55  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   gdYCF3s6RyE  ,  28 19:54:47  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC1NB1xUQ8ItM5VoA4101lUQ  ,   5w34E44dYYs  ,  28 20:11:43  ,  
moderation status(channel id, vid id, time,  mod status): UCN5xN8gIljvWYnsj06V8WbQ  ,   1KjU7BMApdY  ,  28 21:04:40  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   mz_LPZpHFBs  ,  28 23:02:52  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   lpJkNNovQbY  ,  28 23:36:39  ,  
moderation status(channel id, vid id, time,  mod status): UCTpdYhet__fMAb0oHIGBOcQ  ,   KH7bSmQhoqU  ,  29 01:00:57  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   KD8PWcEOgN0  ,  29 01:34:41  ,  
moderation status(channel id, vid id, time,  mod status): UCo5OlQ6tui7oBDnqVv33vhw  ,   9Enubz9xgxI  ,  29 01:34:43  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   H4de3QJpSbY  ,  29 04:42:24  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCUxMKrXEeSi8N0bqbjrLF_w  ,   jo7p6xrgFlU  ,  29 04:59:20  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   YYrXxu8QQ5g  ,  29 05:49:56  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   LFUSoTJPN3Y  ,  29 06:57:29  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   sJzT_raZIIk  ,  29 13:46:50  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   MsO40ukO0_I  ,  29 17:09:19  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UChnfZKbuDfLQDKJ99Vv2sOw  ,   OiaJAuymYa4  ,  29 17:09:21  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   MBxR0X-jwOQ  ,  29 17:43:05  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   epziREoUSnU  ,  29 18:16:50  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCSAUGyc_xA8uYzaIVG6MESQ  ,   slgjvpgeYeA  ,  29 19:09:43  ,  
moderation status(channel id, vid id, time,  mod status): UCN6BU9wRapPTF_tzYqKVWNA  ,   ifz9il02n_M  ,  29 19:26:37  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCi_V-NWe_nqsj5AlT3SIN_g  ,   CYFuMiy25Hc  ,  29 20:17:16  ,  
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   RUxJI4TR4Aw  ,  29 22:15:23  ,  
moderation status(channel id, vid id, time,  mod status): UCVOGOj5wxS8p8P6ilray33A  ,   3d6gIIk2Aag  ,  30 00:15:58  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   euxwmg_mw1o  ,  30 03:55:38  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   b6jDVmybz6Y  ,  30 05:21:59  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   oYZlcT30eRs  ,  30 06:46:24  ,  
moderation status(channel id, vid id, time,  mod status): UCcJOvU2SXP0YI4iYL7Kxwcg  ,   1b2jJU7mmpQ  ,  30 16:15:55  ,  
moderation status(channel id, vid id, time,  mod status): UCuouUWCLmpG4Dje3Ay0p1oQ  ,   gNPxEV0ujbs  ,  30 17:07:24  ,  
moderation status(channel id, vid id, time,  mod status): UCX6OQ3DkcsbYNE6H8uQQuVA  ,   slhaqZNdFHQ  ,  30 17:07:26  ,  
moderation status(channel id, vid id, time,  mod status): UCxOGHW-aqciBe5Wjq8ltzOg  ,   gXwrqvzYGK0  ,  30 17:07:27  ,  
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   S1CdPxXEzoo  ,  30 17:24:26  ,  
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   wa2iAN9blfg  ,  30 17:41:25  ,  
moderation status(channel id, vid id, time,  mod status): UCM1cgxPGbxl_jR28Dx0CNww  ,   D1VOTI5S7K0  ,  30 17:58:18  ,  
moderation status(channel id, vid id, time,  mod status): UC_eR8YpmUyAMi6tlMZrH-ag  ,   V_gScGEyn-o  ,  30 19:06:01  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   jOJmAE9X5Dg  ,  30 21:21:43  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   qiYyUbfRo8k  ,  30 23:06:35  ,  
moderation status(channel id, vid id, time,  mod status): UC1EW42tsTQTuFIkKcAhufkw  ,   1jMsdtHj4vo  ,  30 23:23:32  ,  
moderation status(channel id, vid id, time,  mod status): UCo5OlQ6tui7oBDnqVv33vhw  ,   5OWnm2U6XI0  ,  30 23:40:30  ,  
moderation status(channel id, vid id, time,  mod status): UC1EW42tsTQTuFIkKcAhufkw  ,   PSKv7Ypo_tE  ,  31 03:38:59  ,  
moderation status(channel id, vid id, time,  mod status): UCUxMKrXEeSi8N0bqbjrLF_w  ,   es89PSzfCu0  ,  31 04:12:45  ,  
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   hqPJisaEBYw  ,  31 15:33:11  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   8VYd8UIhQcg  ,  31 16:07:01  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCfF6ZjZ4R8-RZBFaLPhQ-xA  ,   RbSBS9mHwQk  ,  31 17:48:21  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   5hjerq7u3pw  ,  31 18:58:11  ,  heldForReview
